codprov;des_prov;wregion;des_wregion;etotalmuj;etotalhom;publicid;totalq;totremun;fonreser;wgruenc;des_wgruenc
13;MANABI;2;REGION COSTA;63;292;0;0;3303548;128614;2;SERVICIOS
24;SANTA ELENA;2;REGION COSTA;58;325;49529;285655;4904372;221298;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;32;45;188531;22808;1329774;59839;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;274;848;508068;738287;23667820;1158412;2;SERVICIOS
10;IMBABURA;1;REGION SIERRA;56;295;33502;194367;5490619;244560;2;SERVICIOS
18;TUNGURAHUA;1;REGION SIERRA;88;358;33171;75292;5561574;280245;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;372;1431;571079;1002400;46809245;2247744;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;18;152;3427;407049;2788793;136656;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;4;103;1664;1256893;2476136;67468;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;25;90;2401;74658;1389402;66839;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;5;38;0;149790;764758;39569;2;SERVICIOS
9;GUAYAS;2;REGION COSTA;261;2007;669651;558907;20943806;985043;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;14;95;4459;687923;2046326;82783;2;SERVICIOS
1;AZUAY;1;REGION SIERRA;39;276;401757;76615;5574499;232476;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;21;91;66447;22987;1760324;76089;2;SERVICIOS
17;PICHINCHA;1;REGION SIERRA;10;36;9931;171597;765528;31436;2;SERVICIOS
21;SUCUMBIOS;3;REGION AMAZONICA;12;12;6011;5590;266187;10578;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;2;0;200;5624;56815;1718;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;6;2;0;0;58239;3200;1;HOTELES Y RESTAURANTES
16;PASTAZA;3;REGION AMAZONICA;4;8;0;0;72175;2326;1;HOTELES Y RESTAURANTES
21;SUCUMBIOS;3;REGION AMAZONICA;5;1;0;0;43722;1041;1;HOTELES Y RESTAURANTES
16;PASTAZA;3;REGION AMAZONICA;1;4;2421;0;33494;0;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;1;4;0;11428;37159;1170;1;HOTELES Y RESTAURANTES
16;PASTAZA;3;REGION AMAZONICA;2;1;0;0;15100;935;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;2;1;19;0;34085;0;1;HOTELES Y RESTAURANTES
14;MORONA SANTIAGO;3;REGION AMAZONICA;4;5;0;0;67994;3590;1;HOTELES Y RESTAURANTES
15;NAPO;3;REGION AMAZONICA;1;5;0;27000;42665;2039;1;HOTELES Y RESTAURANTES
19;ZAMORA CHINCHIPE;3;REGION AMAZONICA;11;9;0;0;144730;6562;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;15;15;2846;0;388594;21430;1;HOTELES Y RESTAURANTES
21;SUCUMBIOS;3;REGION AMAZONICA;4;60;32159;0;750452;40528;1;HOTELES Y RESTAURANTES
15;NAPO;3;REGION AMAZONICA;1;64;59348;0;762631;39084;1;HOTELES Y RESTAURANTES
21;SUCUMBIOS;3;REGION AMAZONICA;10;5;979;10000;117150;5877;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;67;72;548;0;1477088;58125;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;27;68;38545;20210;1235787;55250;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;27;52;25015;0;861074;45713;1;HOTELES Y RESTAURANTES
24;SANTA ELENA;2;REGION COSTA;6;10;0;0;116996;1260;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;10;1;0;33244;77959;1589;1;HOTELES Y RESTAURANTES
8;ESMERALDAS;2;REGION COSTA;8;7;0;0;95613;5718;1;HOTELES Y RESTAURANTES
13;MANABI;2;REGION COSTA;4;2;2436;0;67476;3389;1;HOTELES Y RESTAURANTES
8;ESMERALDAS;2;REGION COSTA;6;1;0;0;34698;0;1;HOTELES Y RESTAURANTES
13;MANABI;2;REGION COSTA;0;10;500;0;77586;4871;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;5;1;1150;0;53946;1324;1;HOTELES Y RESTAURANTES
7;EL ORO;2;REGION COSTA;2;2;0;3800;39619;1957;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;3;3;0;0;24543;0;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;5;5;678;39000;87250;4463;1;HOTELES Y RESTAURANTES
8;ESMERALDAS;2;REGION COSTA;24;40;17499;300000;755769;9826;1;HOTELES Y RESTAURANTES
24;SANTA ELENA;2;REGION COSTA;3;7;1565;0;79254;3432;1;HOTELES Y RESTAURANTES
12;LOS0RIOS;2;REGION COSTA;0;0;1304;0;0;0;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;4;7;6814;0;74841;3088;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;18;3;0;0;198550;10687;1;HOTELES Y RESTAURANTES
7;EL ORO;2;REGION COSTA;21;7;8989;0;187624;8332;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;1;3;300;0;23725;1140;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;20;64;26888;144043;789474;15363;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;34;44;19063;226950;763518;36407;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;57;135;63736;0;2191583;102205;1;HOTELES Y RESTAURANTES
7;EL ORO;2;REGION COSTA;24;65;48775;0;763639;35514;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;51;101;126752;398167;1203899;77188;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;36;56;29891;594981;1054284;61601;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;53;146;59490;1185564;2032567;90643;1;HOTELES Y RESTAURANTES
13;MANABI;2;REGION COSTA;38;67;24977;24851;1150962;54334;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;21;81;68718;49047;1521282;71405;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;47;22;1500;0;651543;27000;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;98;256;377142;172576;3624985;160106;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;67;72;51138;41666;1911669;67614;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;38;168;46085;9362;2556981;129453;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;125;354;94699;308000;5615949;130793;1;HOTELES Y RESTAURANTES
24;SANTA ELENA;2;REGION COSTA;50;82;218361;25019;1082136;55986;1;HOTELES Y RESTAURANTES
20;GALAPAGOS;4;REGION INSULAR;30;25;71974;144220;1071103;56196;1;HOTELES Y RESTAURANTES
20;GALAPAGOS;4;REGION INSULAR;2;5;0;0;64752;3355;1;HOTELES Y RESTAURANTES
20;GALAPAGOS;4;REGION INSULAR;7;6;0;0;267544;10510;1;HOTELES Y RESTAURANTES
20;GALAPAGOS;4;REGION INSULAR;27;33;23970;57901;1005760;39368;1;HOTELES Y RESTAURANTES
20;GALAPAGOS;4;REGION INSULAR;26;44;2294;1169;1338582;53477;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;100;244;386627;0;5293510;227156;1;HOTELES Y RESTAURANTES
23;SANTO DOMINGO;1;REGION SIERRA;22;29;12040;23029;409422;4693;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;5;11;26261;0;347125;7400;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;15;33;49479;8487;660224;28185;1;HOTELES Y RESTAURANTES
18;TUNGURAHUA;1;REGION SIERRA;14;19;12093;11204;324275;4664;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;5;12;0;0;128743;1599;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;5;5;712;0;87558;3601;1;HOTELES Y RESTAURANTES
23;SANTO DOMINGO;1;REGION SIERRA;8;12;53;0;143308;5291;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;2;7;0;0;127005;7603;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;9;7;524;1209;131406;5193;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;7;3;350;0;92823;691;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;10;0;450;0;74308;4388;1;HOTELES Y RESTAURANTES
18;TUNGURAHUA;1;REGION SIERRA;5;3;766;0;77589;4581;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;3;2;0;18187;53720;641;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;6;4;0;0;73676;2624;1;HOTELES Y RESTAURANTES
4;CARCHI;1;REGION SIERRA;4;5;0;0;117216;6893;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;4;2;0;3685;46656;2269;1;HOTELES Y RESTAURANTES
6;CHIMBORAZO;1;REGION SIERRA;1;2;0;0;29330;1274;1;HOTELES Y RESTAURANTES
23;SANTO DOMINGO;1;REGION SIERRA;4;3;8722;0;62205;3209;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;3;3;901;0;54831;1321;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;6;6;2202;6053;131634;6319;1;HOTELES Y RESTAURANTES
6;CHIMBORAZO;1;REGION SIERRA;7;5;1221;12786;102413;2790;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;4;13;1372;0;131437;4365;1;HOTELES Y RESTAURANTES
11;LOJA;1;REGION SIERRA;10;8;0;0;131120;1403;1;HOTELES Y RESTAURANTES
5;COTOPAXI;1;REGION SIERRA;2;3;550;0;60721;3805;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;7;6;169;0;123128;5662;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;20;38;3727;5950;592788;29732;1;HOTELES Y RESTAURANTES
11;LOJA;1;REGION SIERRA;3;7;2558;0;78495;3456;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;3;4;90;0;16700;960;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;4;14;9774;164000;197709;7899;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;9;22;1496;19010;205556;10651;1;HOTELES Y RESTAURANTES
10;IMBABURA;1;REGION SIERRA;5;4;4761;26268;123592;6730;1;HOTELES Y RESTAURANTES
18;TUNGURAHUA;1;REGION SIERRA;18;34;4065;268281;473194;28234;1;HOTELES Y RESTAURANTES
11;LOJA;1;REGION SIERRA;25;34;12293;0;553483;31043;1;HOTELES Y RESTAURANTES
10;IMBABURA;1;REGION SIERRA;2;4;639;0;44979;2430;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;3;3;266;0;76820;4396;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;25;78;54810;1080000;1214459;68550;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;16;20;11403;32800;255490;8804;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;12;25;60342;64414;412658;16918;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;71;77;42370;516717;1517497;63463;1;HOTELES Y RESTAURANTES
11;LOJA;1;REGION SIERRA;12;12;1051;0;144391;6464;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;20;71;46719;0;1035596;47388;1;HOTELES Y RESTAURANTES
11;LOJA;1;REGION SIERRA;8;4;2395;0;117714;4719;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;67;192;109082;0;4093509;161458;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;11;36;20025;29849;419887;18977;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;19;49;20522;180000;805537;18322;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;46;51;43174;0;986859;41219;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;50;145;141600;0;2188392;95005;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;24;50;9269;237242;1335171;57337;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;59;152;37695;363853;2397215;120643;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;51;102;79280;0;2052295;84046;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;189;455;212384;0;6213521;277166;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;629;908;763694;278087;11125774;89832;1;HOTELES Y RESTAURANTES
1;AZUAY;1;REGION SIERRA;39;44;6401;64822;649362;33079;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;20;46;26532;0;991339;45241;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;105;316;196637;0;5854949;242700;1;HOTELES Y RESTAURANTES
17;PICHINCHA;1;REGION SIERRA;22;19;350;0;520015;27315;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;3;3;258;27649;25356;951;1;HOTELES Y RESTAURANTES
22;ORELLANA;3;REGION AMAZONICA;2;1;0;0;18290;505;1;HOTELES Y RESTAURANTES
21;SUCUMBIOS;3;REGION AMAZONICA;13;224;180;3899;1325991;76465;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;7;9;665;425052;968378;43816;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;31;50;48;67302;689216;34785;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;60;5;16200;148225;472690;27577;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;7;25;0;0;249766;15011;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;7;14;3883;44164;160144;8192;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;7;8;0;3600;154317;9953;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;3;8;9;15;149788;5486;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;9;9;0;58304;131154;9700;1;HOTELES Y RESTAURANTES
9;GUAYAS;2;REGION COSTA;3;17;0;0;125889;7049;1;HOTELES Y RESTAURANTES
8;ESMERALDAS;2;REGION COSTA;5;7;2924;12251;112872;6594;1;HOTELES Y RESTAURANTES
24;SANTA ELENA;2;REGION COSTA;0;6;12;0;86970;3607;1;HOTELES Y RESTAURANTES
